t(ms),F(N),t0(ms),,,,
156634,167.4069398,1663,1.86405869,,,
156646,143.2695086,1675,1.862503612,,,
156659,143.2695086,1688,1.719234103,,,
156671,143.2695086,1700,1.862503612,,,
156684,143.2695086,1713,1.719234103,,,
156696,143.2695086,1725,1.862503612,,,
156709,143.2695086,1738,1.719234103,,,
156721,143.2695086,1750,1.632209419,,,
156734,107.8396328,1763,1.294075594,,,
156746,107.8396328,1775,1.401915226,,,
156759,107.8396328,1788,1.294075594,,,
156771,107.8396328,1800,1.401915226,,,
156784,107.8396328,1813,1.294075594,,,
156796,107.8396328,1825,1.401915226,,,
156809,107.8396328,1838,1.294075594,,,
156821,107.8396328,1850,1.182532794,,,
156834,74.08848937,1863,0.889061872,,,
156846,74.08848937,1875,0.963150362,,,
156859,74.08848937,1888,0.889061872,,,
156871,74.08848937,1900,0.963150362,,,
156884,74.08848937,1913,0.889061872,,,
156896,74.08848937,1925,1.555858277,,,
156917,74.08848937,1946,0.246203785,,,
156921,49.01340312,1950,0.637174241,,,
156934,49.01340312,1963,0.588160837,,,
156946,49.01340312,1975,0.637174241,,,
156959,49.01340312,1988,0.588160837,,,
156971,49.01340312,2000,0.637174241,,,
156984,49.01340312,2013,0.588160837,,,
156996,49.01340312,2025,0.637174241,,,
157009,49.01340312,2038,0.489674081,,,
157021,32.59894378,2050,0.423786269,,,
157034,32.59894378,2063,0.391187325,,,
157046,32.59894378,2075,0.423786269,,,
157059,32.59894378,2088,0.391187325,,,
157071,32.59894378,2100,0.423786269,,,
157084,32.59894378,2113,0.391187325,,,
157096,32.59894378,2125,0.361188599,,,
157109,22.96853296,2138,0.275622396,,,
157121,22.96853296,2150,0.298590928,,,
157134,22.96853296,2163,0.275622396,,,
157146,22.96853296,2175,0.298590928,,,
157159,22.96853296,2188,0.275622396,,,
157171,22.96853296,2200,0.298590928,,,
157184,22.96853296,2213,0.275622396,,,
157196,22.96853296,2225,0.266252715,,,
157209,17.99342312,2238,0.215921077,,,
157221,17.99342312,2250,0.233914501,,,
157234,17.99342312,2263,0.215921077,,,
157246,17.99342312,2275,0.233914501,,,
157259,17.99342312,2288,0.215921077,,,
157271,17.99342312,2300,0.233914501,,,
157284,17.99342312,2313,0.202482764,,,
157296,15.75370422,2325,0.204798155,,,
157309,15.75370422,2338,0.189044451,,,
157321,15.75370422,2350,0.204798155,,,
157334,15.75370422,2363,0.189044451,,,
157346,15.75370422,2375,0.204798155,,,
157359,15.75370422,2388,0.189044451,,,
157371,15.75370422,2400,0.199678888,,,
157384,14.9661247,2413,0.179593496,,,
157396,14.9661247,2425,0.194559621,,,
157409,14.9661247,2438,0.179593496,,,
157421,14.9661247,2450,0.194559621,,,
157434,14.9661247,2463,0.179593496,,,
157446,14.9661247,2475,0.194559621,,,
157459,14.9661247,2488,0.179593496,,,
157471,14.9661247,2500,0.192590778,,,
157484,14.66322575,2513,0.175958709,,,
157496,14.66322575,2525,,,,
